"﻿employee_id","year","rating"
EMP100000,2021,2.00
EMP100001,2021,
EMP100002,2021,2.00
EMP100003,2021,
EMP100004,2021,3.00
EMP100005,2021,
EMP100006,2021,4.00
EMP100007,2021,4.00
EMP100008,2021,5.00
EMP100009,2021,
EMP100010,2021,2.00
EMP100011,2021,3.00
EMP100012,2021,
EMP100013,2021,
EMP100014,2021,2.00
EMP100015,2021,3.00
EMP100016,2021,2.00
EMP100017,2021,3.00
EMP100018,2021,3.00
EMP100019,2021,4.00
EMP100020,2021,3.00
EMP100021,2021,5.00
EMP100022,2021,4.00
EMP100023,2021,3.00
EMP100024,2021,3.00
EMP100025,2021,
EMP100026,2021,3.00
EMP100027,2021,
EMP100028,2021,
EMP100029,2021,4.00
EMP100030,2021,1.00
EMP100031,2021,4.00
EMP100032,2021,3.00
EMP100033,2021,3.00
EMP100034,2021,3.00
EMP100035,2021,2.00
EMP100036,2021,3.00
EMP100037,2021,1.00
EMP100038,2021,4.00
EMP100039,2021,4.00
EMP100040,2021,1.00
EMP100041,2021,1.00
EMP100042,2021,1.00
EMP100043,2021,5.00
EMP100044,2021,
EMP100045,2021,2.00
EMP100046,2021,3.00
EMP100047,2021,4.00
EMP100048,2021,3.00
EMP100049,2021,5.00
EMP100050,2021,2.00
EMP100051,2021,4.00
EMP100052,2021,
EMP100053,2021,5.00
EMP100054,2021,
EMP100055,2021,4.00
EMP100056,2021,5.00
EMP100057,2021,3.00
EMP100058,2021,3.00
EMP100059,2021,1.00
EMP100060,2021,4.00
EMP100061,2021,
EMP100062,2021,4.00
EMP100063,2021,5.00
EMP100064,2021,4.00
EMP100065,2021,4.00
EMP100066,2021,3.00
EMP100067,2021,3.00
EMP100068,2021,2.00
EMP100069,2021,
EMP100070,2021,4.00
EMP100071,2021,3.00
EMP100072,2021,2.00
EMP100073,2021,2.00
EMP100074,2021,5.00
EMP100075,2021,3.00
EMP100076,2021,
EMP100077,2021,2.00
EMP100078,2021,5.00
EMP100079,2021,3.00
EMP100080,2021,4.00
EMP100081,2021,4.00
EMP100082,2021,3.00
EMP100083,2021,
EMP100084,2021,
EMP100085,2021,
EMP100086,2021,
EMP100087,2021,
EMP100088,2021,4.00
EMP100089,2021,3.00
EMP100090,2021,4.00
EMP100091,2021,
EMP100092,2021,3.00
EMP100093,2021,1.00
EMP100094,2021,1.00
EMP100095,2021,2.00
EMP100096,2021,3.00
EMP100097,2021,0.00
EMP100098,2021,4.00
EMP100099,2021,2.00
EMP100100,2021,4.00
EMP100101,2021,4.00
EMP100102,2021,
EMP100103,2021,4.00
EMP100104,2021,5.00
EMP100105,2021,
EMP100106,2021,4.00
EMP100107,2021,4.00
EMP100108,2021,3.00
EMP100109,2021,
EMP100110,2021,2.00
EMP100111,2021,3.00
EMP100112,2021,
EMP100113,2021,4.00
EMP100114,2021,
EMP100115,2021,2.00
EMP100116,2021,1.00
EMP100117,2021,4.00
EMP100118,2021,4.00
EMP100119,2021,
EMP100120,2021,4.00
EMP100121,2021,4.00
EMP100122,2021,
EMP100123,2021,2.00
EMP100124,2021,
EMP100125,2021,4.00
EMP100126,2021,3.00
EMP100127,2021,3.00
EMP100128,2021,1.00
EMP100129,2021,
EMP100130,2021,3.00
EMP100131,2021,3.00
EMP100132,2021,1.00
EMP100133,2021,1.00
EMP100134,2021,2.00
EMP100135,2021,
EMP100136,2021,
EMP100137,2021,
EMP100138,2021,3.00
EMP100139,2021,
EMP100140,2021,3.00
EMP100141,2021,3.00
EMP100142,2021,3.00
EMP100143,2021,
EMP100144,2021,
EMP100145,2021,3.00
EMP100146,2021,3.00
EMP100147,2021,
EMP100148,2021,3.00
EMP100149,2021,3.00
EMP100150,2021,3.00
EMP100151,2021,1.00
EMP100152,2021,3.00
EMP100153,2021,3.00
EMP100154,2021,2.00
EMP100155,2021,3.00
EMP100156,2021,2.00
EMP100157,2021,
EMP100158,2021,
EMP100159,2021,1.00
EMP100160,2021,4.00
EMP100161,2021,1.00
EMP100162,2021,3.00
EMP100163,2021,4.00
EMP100164,2021,4.00
EMP100165,2021,
EMP100166,2021,2.00
EMP100167,2021,2.00
EMP100168,2021,3.00
EMP100169,2021,4.00
EMP100170,2021,4.00
EMP100171,2021,3.00
EMP100172,2021,
EMP100173,2021,2.00
EMP100174,2021,1.00
EMP100175,2021,3.00
EMP100176,2021,
EMP100177,2021,
EMP100178,2021,3.00
EMP100179,2021,4.00
EMP100180,2021,2.00
EMP100181,2021,2.00
EMP100182,2021,4.00
EMP100183,2021,
EMP100184,2021,3.00
EMP100185,2021,2.00
EMP100186,2021,4.00
EMP100187,2021,
EMP100188,2021,
EMP100189,2021,3.00
EMP100190,2021,1.00
EMP100191,2021,2.00
EMP100192,2021,1.00
EMP100193,2021,
EMP100194,2021,3.00
EMP100195,2021,2.00
EMP100196,2021,2.00
EMP100197,2021,
EMP100198,2021,2.00
EMP100199,2021,
EMP100200,2021,3.00
EMP100201,2021,2.00
EMP100202,2021,3.00
EMP100203,2021,2.00
EMP100204,2021,4.00
EMP100205,2021,
EMP100206,2021,2.00
